//1974,BGD,Drought,0,0
10/04/1976,BGD,Storm,46,0
15/06/1976,BGD,Flood,168,0
09/05/1976,BGD,Storm,1,201
01/04/1977,BGD,Storm,600,50000
24/04/1977,BGD,Storm,13,0
/09/1977,BGD,Flood,5,0
06/10/1977,BGD,Storm,21,0
13/10/1977,BGD,Flood,8,0
09/04/1978,BGD,Storm,1000,0
05/05/1978,BGD,Storm,30,0
/08/1978,BGD,Flood,17,0
02/05/1979,BGD,Storm,3,0
17/08/1979,BGD,Storm,50,0
//1979,BGD,Drought,18,0
/04/1980,BGD,Storm,11,0
/08/1980,BGD,Flood,655,150000
15/04/1981,BGD,Storm,70,0
11/12/1981,BGD,Storm,1000,0
06/03/1981,BGD,Storm,15,0
07/09/1982,BGD,Flood,0,0
//1983,BGD,Drought,0,0
21/03/1983,BGD,Storm,6,0
/04/1983,BGD,Flood,78,0
26/04/1983,BGD,Storm,12,0
/07/1983,BGD,Flood,12,0
/09/1983,BGD,Flood,114,0
15/10/1983,BGD,Storm,600,0
13/11/1983,BGD,Storm,67,0
/08/1983,BGD,Flood,41,0
/05/1984,BGD,Flood,1200,0
/06/1985,BGD,Flood,7,0
28/03/1985,BGD,Storm,50,0
28/05/1985,BGD,Storm,15000,50000
16/10/1985,BGD,Storm,71,0
05/07/1985,BGD,Flood,27,0
04/04/1986,BGD,Storm,100,0
02/08/1986,BGD,Flood,4,0
26/09/1986,BGD,Storm,40,0
09/11/1986,BGD,Storm,25,0
07/08/1986,BGD,Flood,26,0
/03/1986,BGD,Storm,19,0
04/06/1987,BGD,Storm,12,0
22/07/1987,BGD,Flood,2055,330000
/08/1987,BGD,Flood,225,727500
06/02/1988,BGD,Earthquake,2,0
23/05/1988,BGD,Storm,28,0
/09/1988,BGD,Flood,2379,2137000
13/06/1988,BGD,Storm,5,0
/07/1988,BGD,Flood,61,0
19/10/1988,BGD,Storm,31,0
29/11/1988,BGD,Storm,1000,0
26/04/1989,BGD,Storm,800,16200
12/06/1989,BGD,Earthquake,1,0
14/08/1989,BGD,Flood,180,0
/12/1989,BGD,Extreme temperature ,100,0
/01/1989,BGD,Extreme temperature ,70,0
