Date,ISO,Type,Death,Dollars
21/03/2017,AGO,Flood,11,2000
22/02/2018,AGO,Flood,0,0
02/01/1955,AIA,Storm,0,0
03/09/1979,AIA,Storm,0,0
16/06/1983,AIA,Flood,0,0
17/11/1999,AIA,Storm,0,50
01/09/1950,ATG,Storm,2,1000
26/09/1966,ATG,Storm,0,0
17/09/1989,ATG,Storm,2,80000
05/09/1995,ATG,Storm,2,350000
20/10/1999,ATG,Storm,1,0
15/10/2008,ATG,Storm,0,0
06/09/2017,ATG,Storm,1,150000
18/12/1949,ARG,Earthquake,0,0
16/08/1965,ARG,Landslide,45,0
10/10/1967,ARG,Flood,56,3000
04/01/1972,ARG,Extreme temperature ,100,0
/02/1974,ARG,Storm,100,0
23/11/1977,ARG,Earthquake,70,80000
/01/1978,ARG,Flood,0,0
/05/1979,ARG,Flood,0,0
01/05/1980,ARG,Flood,31,0
/05/1983,ARG,Flood,0,1000000
/01/1984,ARG,Landslide,30,0
/10/1985,ARG,Flood,12,1300000
11/04/1986,ARG,Flood,3,0
22/01/1987,ARG,Wildfire,0,100000
/01/1987,ARG,Storm,1,10000
/04/1990,ARG,Flood,21,0
01/01/1992,ARG,Flood,45,250000
11/05/1993,ARG,Flood,0,400000
/01/1993,ARG,Flood,0,92000
21/01/1994,ARG,Wildfire,24,0
17/03/1995,ARG,Flood,0,0
/09/1995,ARG,Extreme temperature ,0,0
07/02/1998,ARG,Storm,0,0
/01/1999,ARG,Wildfire,0,0
15/05/2000,ARG,Flood,4,0
/09/2000,ARG,Storm,0,0
22/11/2000,ARG,Flood,2,0
/12/2000,ARG,Wildfire,8,0
21/03/2001,ARG,Flood,0,0
/07/2001,ARG,Extreme temperature ,14,0
/08/2001,ARG,Wildfire,0,0
28/05/2002,ARG,Earthquake,0,0
22/10/2002,ARG,Storm,3,0
12/10/2002,ARG,Flood,4,0
28/04/2003,ARG,Flood,23,1028210
/06/2003,ARG,Drought,0,120000
/07/2004,ARG,Extreme temperature ,5,0
30/01/2005,ARG,Storm,11,0
18/01/2007,ARG,Flood,5,30000
/05/2007,ARG,Extreme temperature ,9,0
07/05/2008,ARG,Volcanic activity,0,0
09/09/2009,ARG,Storm,10,0
28/12/2009,ARG,Flood,2,0
/07/2010,ARG,Extreme temperature ,42,0
