YEAR,ISO,COMMODITY,TREND,ADJUSTED TREND,ADJUSTED DEATH,ADJUSTED $ LOSS,CIS
1997,FRA,1804,7.620943820075159,1.0713419829227948,0.48082983972722637,3.685381852748055e-06,0.4,0.40000368538185277
1998,FRA,1804,7.700538584641297,1.2011431380313753,1.4896974594104784,2.4035099039661228e-06,0.5176091259055682,0.5176115294154722
1999,FRA,1804,7.79499362516818,1.2429539548461013,1.8146682133425185,2.339416306527026e-05,0.7097284734298384,0.7097518675929037
2000,FRA,1804,7.793487949006591,0.9965390554386024,-0.10056908028382812,1.7625739295751568e-06,0,1.7625739295751568e-06
2002,FRA,1804,7.792688589376842,0.998161099286159,-0.08796189266567947,4.4865518207367625e-06,0.6075911761482777,0.6075956627000985
2003,FRA,1804,7.81541103756204,1.0537132670560778,0.3438122561806877,0.003126325449085535,0.677085569208826,0.6802118946579115
2004,FRA,1804,7.80219834525606,0.9700347839920214,-0.3065711087201947,1.7625739295751568e-06,0,1.7625739295751568e-06
2005,FRA,1804,7.804986087548242,1.006439659866519,-0.023617536869116017,2.0830419167706397e-06,0.4,0.4000020830419168
2007,FRA,1804,7.900869963508127,1.2470500265854838,1.8465045567271816,8.011699679887076e-07,0.5397940008672037,0.5397948020371718
2008,FRA,1804,7.9007740221434695,0.9997791112434525,-0.07538604254625458,8.011699679887076e-07,0.49030899869919436,0.49030979986916234
2009,FRA,1804,7.9048710089361895,1.009478297946105,0.0,2.8842118847593474e-06,0.6505149978319906,0.6505178820438754
2012,FRA,1804,7.897323864401527,0.9827721830602368,-0.2075708381281748,1.922807923172898e-06,0,1.922807923172898e-06
2013,FRA,1804,7.918807196518518,1.0507111286192523,0.3204784094503859,6.409359743909661e-07,0.5816241299991783,0.5816247709351527
2014,FRA,1804,7.759311063102564,0.6926340960273976,-2.4626426131013326,3.5251478591503136e-06,0.5685741738602264,0.5685776990080855
2016,FRA,1804,7.788323211249798,1.0690847833965638,0.4632859626232518,8.011699679887076e-07,0.6380211241711606,0.6380219253411287
1997,DEU,1804,6.8514121595946005,0.6322655301311612,-1.9201819466069392,3.1815048555062893e-06,0.5556302500767287,0.5556334315815842
1998,DEU,1804,6.624891537139672,0.5935801613935345,-2.025040104251667,3.181504855506289e-07,0.5176091259055682,0.5176094440560537
1999,DEU,1804,6.560699117075477,0.8625962781006814,-1.2958617276419586,3.1815048555062893e-06,0.6339695849505891,0.6339727664554445
2002,DEU,1804,6.450664723252152,0.5455230659219604,-2.1553006822775087,5.196457930660272e-06,0.7135132651376775,0.7135184615956082
2003,DEU,1804,6.657285375181782,1.6092393807347576,0.7279426902852737,0.0009936900165364642,0.6290034611362518,0.6299971511527883
2004,DEU,1804,6.864742405844749,1.612341493483621,0.7363510844215218,2.1210032370041928e-07,0.5152288344383057,0.5152290465386294
2005,DEU,1804,6.9920672600276665,1.3406791463564494,0.0,4.2420064740083856e-07,0.5897627091290442,0.5897631333296915
2007,DEU,1804,7.147991498370762,1.4319380792341379,0.24736079511298442,2.0149530751539833e-06,0.6740362689494244,0.6740382839024995
2008,DEU,1804,7.366512608768202,1.6539451785892092,0.8491194491485273,5.302508092510482e-07,0.6079181246047625,0.6079186548555717
2008,DEU,1804,7.366512608768202,1.6539451785892092,0.8491194491485273,3.181504855506289e-07,0.6176091259055682,0.6176094440560537
2009,DEU,1804,7.510292402557421,1.392450590845761,0.14032846176480757,1.0605016185020964e-07,0,1.0605016185020964e-07
2009,DEU,1804,7.510292402557421,1.392450590845761,0.14032846176480757,1.0605016185020964e-07,0.4845098040014257,0.48450991005158756
2012,DEU,1804,7.666336025470543,1.4323317632845767,0.24842789064729628,6.363009711012578e-07,0,6.363009711012578e-07
2013,DEU,1804,7.778225255095962,1.2938657882642393,-0.1268893807373135,1.166551780352306e-06,0.7247973266361807,0.7247984931879611
2014,DEU,1804,7.865529747723838,1.2226565889396348,-0.31990461342583437,8.484012948016771e-07,0.5602059991327962,0.560206847534091
2016,DEU,1804,7.862997642191148,0.9941865752769075,-0.9391812415541877,7.423511329514675e-07,0.6301029995663981,0.630103741917531
2000,NGA,1804,4.342856758301525,0.016691932207500832,-0.0002489212166436062,1.5229456919947107e-06,0.3826398782187618,0.3826414011644538
2009,NGA,1804,7.578131327140851,1718.9948233584598,2.1211958719979234,1.3114254569954453e-06,0,1.3114254569954453e-06
2016,NGA,1804,6.917362961950181,0.21838944006958635,0.0,1.945986161993241e-06,0,1.945986161993241e-06
1997,NLD,1804,8.210156952566022,1.057422113749887,0.3781492326791045,1.3153221959553181e-06,0,1.3153221959553181e-06
1998,NLD,1804,8.176005648280498,0.9243760735354725,-0.8905178842967953,0.0,0.5724357804226426,0.5724357804226426
2002,NLD,1804,8.222925251587188,1.0763387220497813,0.5585294895895188,2.6306443919106363e-06,0.5477121254719662,0.5477147561163581
2003,NLD,1804,8.222878357397072,0.999892027966289,-0.17043175442002106,0.0006346429595484411,0,0.0006346429595484411
2005,NLD,1804,8.316476519556565,1.0499631869405728,0.30702426604607574,0.0,0.5,0.5
2007,NLD,1804,8.320665132512664,1.0096912971554366,-0.07699033691799313,4.603627685843614e-06,0.5740362689494244,0.5740408725771102
2008,NLD,1804,8.313741507655342,0.9841841694320252,-0.3202148187518416,0.0,0,0.0
2012,NLD,1804,8.337284010576038,1.149813932086867,1.2591560000570512,6.576610979776591e-07,0,6.576610979776591e-07
2013,NLD,1804,8.377056405236667,1.0959037036781507,0.7450923425398814,1.3153221959553181e-06,0.4,0.40000131532219596
2016,NLD,1804,8.401091716565036,1.0761514619628756,0.5567438617407193,0.0,0.5926342446625654,0.5926342446625654
1997,NLD,1804,8.210156952566022,1.057422113749887,0.3781492326791045,1.3153221959553181e-06,0,1.3153221959553181e-06
1998,NLD,1804,8.176005648280498,0.9243760735354725,-0.8905178842967953,0.0,0.5724357804226426,0.5724357804226426
2002,NLD,1804,8.222925251587188,1.0763387220497813,0.5585294895895188,2.6306443919106363e-06,0.5477121254719662,0.5477147561163581
2003,NLD,1804,8.222878357397072,0.999892027966289,-0.17043175442002106,0.0006346429595484411,0,0.0006346429595484411
2005,NLD,1804,8.316476519556565,1.0499631869405728,0.30702426604607574,0.0,0.5,0.5
2007,NLD,1804,8.320665132512664,1.137539442613616,1.1421119967384679,4.603627685843614e-06,0.5740362689494244,0.5740408725771102
2008,NLD,1804,8.313741507655342,0.9841841694320252,-0.3202148187518416,0.0,0,0.0
2010,NLD,1804,8.34125840273899,1.1603846062149368,1.3599531876241344,0.0,0.44471580313422193,0.44471580313422193
2006,NLD,1804,8.326204651399687,0.9659313211379832,-0.4942657591968317,0.0006576610979776591,0,0.0006576610979776591
2012,NLD,1804,8.337284010576038,1.0258393620412505,0.07699033691799313,6.576610979776591e-07,0,6.576610979776591e-07
2013,NLD,1804,8.377056405236667,1.0959037036781507,0.7450923425398814,1.3153221959553181e-06,0.4,0.40000131532219596
2016,NLD,1804,8.401091716565036,1.166951520426192,1.4225723238749748,0.0,0.5926342446625654,0.5926342446625654
2008,CIV,1804,7.795254725361662,1.058554870702374,-0.07670103927994977,2.6392511346602493e-06,0,2.6392511346602493e-06
2009,CIV,1804,7.827377170420367,1.0767687552000815,0.0,1.1876630105971123e-05,0,1.1876630105971123e-05
1997,POL,1804,5.677092976867442,3.3619508262797257,2.3132026274278217,2.6239950256491462e-05,0.6544068044350275,0.654433044385284
1998,POL,1804,5.765248956252477,1.225056106276962,0.16018799356899915,1.8243013035465493e-05,0,1.8243013035465493e-05
1999,POL,1804,5.765295929698056,1.0001081662051003,-0.06645686745180457,3.923497324065867e-05,0.4,0.4000392349732407
2000,POL,1804,5.81679525218122,1.125898712446352,0.06028259440533334,2.099196020519317e-05,0,2.099196020519317e-05
2002,POL,1804,5.778142564407146,0.9148445647997365,-0.1523636647511196,6.972329639582017e-05,0.21760912590556813,0.21767884920196395
2003,POL,1804,6.396344610872618,4.151471362760589,3.108679003902357,4.573248473274226e-05,0,4.573248473274226e-05
2004,POL,1804,6.316566618790191,0.8321890708851216,-0.2356426799974882,0.0,0,0.0
2007,POL,1804,6.187078869416341,0.7421851330828562,-0.32632557297264897,4.748181474984169e-06,0.5,0.500004748181475
2008,POL,1804,6.189778811731576,1.0062362116281882,-0.06028259440533334,4.998085763141231e-07,0.4698970004336019,0.4698975002421782
2009,POL,1804,6.337150253194284,1.404014010082505,0.34049588713594797,2.27412902222926e-05,0.5,0.5000227412902223
2012,POL,1804,6.399381729005252,1.154068203913312,0.08866458570748226,6.847377495503487e-05,0.3770852011642144,0.37715367493916946
2013,POL,1804,6.489444752483203,1.2304473165828986,0.1656198730969138,7.247224356554785e-06,0,7.247224356554785e-06
2014,POL,1804,6.464343168210408,0.9438400801983704,-0.12314941830969603,1.94925344762508e-05,0,1.94925344762508e-05
2016,POL,1804,6.231966298201779,0.5856297489407892,-0.4840619508634716,5.7477986276124155e-06,0,5.7477986276124155e-06
