YEAR,ISO,COMMODITY,TREND,ADJUSTED TREND,ADJUSTED DEATH,ADJUSTED $ LOSS,CIS
1997,FRA,1001,10.163906126637599,0.9899317598757188,0.0,3.685381852748055e-06,0.4,0.40000368538185277
1998,FRA,1001,10.142223674661787,0.9513001123206278,-0.25451364384233116,2.4035099039661228e-06,0.5176091259055682,0.5176115294154722
1999,FRA,1001,10.26292258060015,1.3203799044009992,2.1770637983826564,2.339416306527026e-05,0.7097284734298384,0.7097518675929037
2000,FRA,1001,10.255659197597161,0.9834145215589486,-0.042936974650760254,1.7625739295751568e-06,0,1.7625739295751568e-06
2002,FRA,1001,10.136790207191385,0.7605556721245567,-1.511179242888729,4.4865518207367625e-06,0.6075911761482777,0.6075956627000985
2003,FRA,1001,10.213109312239283,1.1921176144234389,1.3320441097142495,0.003126325449085535,0.677085569208826,0.6802118946579115
2004,FRA,1001,10.17016005511335,0.9058384326834845,-0.5540250152675773,1.7625739295751568e-06,0,1.7625739295751568e-06
2005,FRA,1001,10.206459057930788,1.0871738628554684,0.6406519920998227,2.0830419167706397e-06,0.4,0.4000020830419168
2007,FRA,1001,10.157023623773528,0.8924102828877787,-0.6424925684489938,8.011699679887076e-07,0.5397940008672037,0.5397948020371718
2008,FRA,1001,10.212471284544545,1.1361813619188041,0.9635239882895242,8.011699679887076e-07,0.49030899869919436,0.49030979986916234
2009,FRA,1001,10.227682264181533,1.0356451594273008,0.3011697566276924,2.8842118847593474e-06,0.6505149978319906,0.6505178820438754
2010,FRA,1001,10.323769561573188,1.2476342755967342,1.6977998727586712,1.2978953481417063e-05,0.6758154621967389,0.6758284411502203
2012,FRA,1001,10.21666271957609,0.7814355378025324,-1.3736181748793552,1.922807923172898e-06,0,1.922807923172898e-06
2013,FRA,1001,10.293212962042128,1.1927522444633618,1.3362251895846393,6.409359743909661e-07,0.5816241299991783,0.5816247709351527
2014,FRA,1001,10.30968165688196,1.0386487310204868,0.32095793546818663,3.5251478591503136e-06,0.5685741738602264,0.5685776990080855
2015,FRA,1001,10.29755646437749,0.9724668538545118,-0.11506257568959105,0.0005284517108853515,0.5965671971220107,0.597095648832896
2016,FRA,1001,10.263516792365916,0.9246137082986614,-0.43032944147284785,8.011699679887076e-07,0.6380211241711606,0.6380219253411287
1997,DEU,1001,9.656080469397535,0.9623346698465689,0.0,3.1815048555062893e-06,0.5556302500767287,0.5556334315815842
1998,DEU,1001,9.77363456685007,1.310853317313371,1.4198472174458034,3.181504855506289e-07,0.5176091259055682,0.5176094440560537
1999,DEU,1001,9.727488849649765,0.8991958271028271,-0.2572244292638296,3.1815048555062893e-06,0.6339695849505891,0.6339727664554445
2002,DEU,1001,9.818183405918987,1.4398825247295568,1.9455056361579892,5.196457930660272e-06,0.7135132651376775,0.7135184615956082
2003,DEU,1001,9.650615267649453,0.6798793675302248,-1.1507085143410454,0.0009936900165364642,0.6290034611362518,0.6299971511527883
2004,DEU,1001,9.594055327401728,0.8778899145451392,-0.3440236317743876,2.1210032370041928e-07,0.5152288344383057,0.5152290465386294
2005,DEU,1001,9.696494694307136,1.2660165029874588,1.2371843197142136,4.2420064740083856e-07,0.5897627091290442,0.5897631333296915
2007,DEU,1001,9.667083224959763,0.9345198501161501,-0.11331615879105462,2.0149530751539833e-06,0.6740362689494244,0.6740382839024995
2008,DEU,1001,9.84742276466745,1.5147450421789037,2.250491719009031,5.302508092510482e-07,0.6079181246047625,0.6079186548555717
2008,DEU,1001,9.84742276466745,1.5147450421789037,2.250491719009031,3.181504855506289e-07,0.6176091259055682,0.6176094440560537
2009,DEU,1001,9.986223904728561,1.3765790001453058,1.6876103014642483,1.0605016185020964e-07,0,1.0605016185020964e-07
2009,DEU,1001,9.986223904728561,1.3765790001453058,1.6876103014642483,1.0605016185020964e-07,0.4845098040014257,0.48450991005158756
2010,DEU,1001,9.95013714550788,0.9202657114583798,-0.17138679362631043,2.333103560704612e-06,0.6,0.6000023331035607
2012,DEU,1001,9.844669506346788,0.7843905644576497,-0.7249352214974556,6.363009711012578e-07,0,6.363009711012578e-07
2013,DEU,1001,9.9207953193284,1.191587154986481,0.9339629471316744,1.166551780352306e-06,0.7247973266361807,0.7247984931879611
2014,DEU,1001,10.040861678389625,1.3184581801285116,1.450829041189289,8.484012948016771e-07,0.5602059991327962,0.560206847534091
2016,DEU,1001,10.00629423782931,0.93631521048473,-0.1060019520989051,7.423511329514675e-07,0.6301029995663981,0.630103741917531
2010,NGA,1001,3.9721102284028307,9.456641735283151e-06,nan,1.692161879994123e-06,0.44771212547196626,0.44771381763384627
1997,NLD,1001,8.568436639658698,0.9429095318354213,-0.05555925162171605,1.3153221959553181e-06,0,1.3153221959553181e-06
1998,NLD,1001,8.419777788354656,0.7101353772393505,-0.7766562153766827,0.0,0.5724357804226426,0.5724357804226426
2002,NLD,1001,8.337293900393645,1.1362490410260222,0.5433755111020283,2.6306443919106363e-06,0.5477121254719662,0.5477147561163581
2003,NLD,1001,8.208803596659275,0.7438916712022247,-0.6720846355701179,0.0006346429595484411,0,0.0006346429595484411
2005,NLD,1001,8.40466044472599,1.1237929918116805,0.5047886702028287,0.0,0.5,0.5
2007,NLD,1001,8.64352682297805,1.7332706308939037,2.392852556768675,4.603627685843614e-06,0.5740362689494244,0.5740408725771102
2008,NLD,1001,8.903770758044567,1.8207232375575728,2.6637666934650768,0.0,0,0.0
2010,NLD,1001,8.712939758907021,0.952215455318494,-0.026730994548999302,0.0,0.44471580313422193,0.44471580313422193
2012,NLD,1001,8.778816279869886,1.1637950909936834,0.6287087519405211,6.576610979776591e-07,0,6.576610979776591e-07
2013,NLD,1001,8.839033442970601,1.1487278838005244,0.5820329627915597,1.3153221959553181e-06,0.4,0.40000131532219596
2016,NLD,1001,8.717462056529946,0.9608443706660975,0.0,0.0,0.5926342446625654,0.5926342446625654
2015,CIV,1001,5.4444273689028115,29.279701147006207,nan,7.038003025760666e-06,0,7.038003025760666e-06
1997,POL,1001,7.869349080759093,3.30512442529816,0.03526279794720366,2.6239950256491462e-05,0.6544068044350275,0.654433044385284
1999,POL,1001,8.59254178784778,5.286797878951635,0.06804538269192097,3.923497324065867e-05,0.4,0.4000392349732407
2000,POL,1001,6.339067860494658,0.005578610920409715,-0.019321190186408668,2.099196020519317e-05,0,2.099196020519317e-05
2002,POL,1001,8.739502925354202,251.44040345000232,4.140134767536537,6.972329639582017e-05,0.21760912590556813,0.21767884920196395
2003,POL,1001,8.747547096346784,1.018694991674744,-0.002561328188404653,4.573248473274226e-05,0,4.573248473274226e-05
2004,POL,1001,8.282773149501871,0.3429462458908353,-0.01374015812325383,0.0,0,0.0
2005,POL,1001,8.657861159189327,2.371854312751308,0.019823823126264767,4.998085763141231e-07,0,4.998085763141231e-07
2007,POL,1001,8.52968425898397,0.7444286856605461,-0.007098482583320038,4.748181474984169e-06,0.5,0.500004748181475
2008,POL,1001,8.57453072828703,1.1087827718623853,-0.001071016914859561,4.998085763141231e-07,0.4698970004336019,0.4698975002421782
2009,POL,1001,9.302712594541497,5.3478826179635846,0.06905590015612592,2.27412902222926e-05,0.5,0.5000227412902223
2010,POL,1001,8.993179616287122,0.4903057898919542,-0.011302406973964667,7.921965934578851e-05,0.6488550716500444,0.6489342913093902
2012,POL,1001,9.006714562574201,1.0316560901636112,-0.0023469143005804224,6.847377495503487e-05,0.3770852011642144,0.37715367493916946
2013,POL,1001,9.22749314137187,1.6625647902906935,0.008090132171412237,7.247224356554785e-06,0,7.247224356554785e-06
2014,POL,1001,9.501800274507966,1.8806463400599063,0.01169782892558123,1.94925344762508e-05,0,1.94925344762508e-05
2015,POL,1001,9.59461440127427,1.238266508737834,0.001071016914859561,1.94925344762508e-05,0,1.94925344762508e-05
2016,POL,1001,9.637163364499232,1.1029325736555449,-0.0011677960376436699,5.7477986276124155e-06,0,5.7477986276124155e-06
