YEAR,ISO,COMMODITY,TREND,ADJUSTED TREND,ADJUSTED DEATH,ADJUSTED $ LOSS,CIS
1997,FRA,1701,9.44601260539755,1.0549373025139919,0.4282895104223364,3.685381852748055e-06,0.4,0.40000368538185277
1998,FRA,1701,9.471842488400267,1.0612797630806483,0.48907267381173053,2.4035099039661228e-06,0.5176091259055682,0.5176115294154722
1999,FRA,1701,9.438956117636314,0.9270723517736152,-0.7971081268114318,2.339416306527026e-05,0.7097284734298384,0.7097518675929037
2000,FRA,1701,9.47594756729262,1.088908654804299,0.7538549964225048,1.7625739295751568e-06,0,1.7625739295751568e-06
2002,FRA,1701,9.432173307137509,0.9041192994399485,-1.017079400675901,4.4865518207367625e-06,0.6075911761482777,0.6075956627000985
2003,FRA,1701,9.405993941498048,0.9415006720612668,-0.6588338813097117,0.003126325449085535,0.677085569208826,0.6802118946579115
2004,FRA,1701,9.33449844499153,0.8482121780930783,-1.552866995371021,1.7625739295751568e-06,0,1.7625739295751568e-06
2005,FRA,1701,9.378753571646714,1.1072740620259314,0.9298604340808623,2.0830419167706397e-06,0.4,0.4000020830419168
2007,FRA,1701,9.293019007079625,0.8208530863321081,-1.8150636818486712,8.011699679887076e-07,0.5397940008672037,0.5397948020371718
2008,FRA,1701,9.297446637554295,1.0102471419581127,0.0,8.011699679887076e-07,0.49030899869919436,0.49030979986916234
2009,FRA,1701,9.352143992358863,1.1342201403966652,1.1880989941946336,2.8842118847593474e-06,0.6505149978319906,0.6505178820438754
2010,FRA,1701,9.36906328801812,1.0397269368624091,0.28252050943350254,1.2978953481417063e-05,0.6758154621967389,0.6758284411502203
2012,FRA,1701,9.339823739191925,0.934889863898875,-0.722188762029519,1.922807923172898e-06,0,1.922807923172898e-06
2013,FRA,1701,9.26107119745357,0.8341563462693116,-1.6875714863708364,6.409359743909661e-07,0.5816241299991783,0.5816247709351527
2014,FRA,1701,9.300746794374367,1.095659470364231,0.8185516422870817,3.5251478591503136e-06,0.5685741738602264,0.5685776990080855
2015,FRA,1701,9.359281654040448,1.144286724991004,1.284572413262877,0.0005284517108853515,0.5965671971220107,0.597095648832896
2016,FRA,1701,9.32624604814777,0.9267538397971323,-0.8001605960076646,8.011699679887076e-07,0.6380211241711606,0.6380219253411287
1997,DEU,1701,9.1279972155119,1.0971163250672893,0.2100300729738557,3.1815048555062893e-06,0.5556302500767287,0.5556334315815842
1998,DEU,1701,9.153125922723872,1.0595676913990126,0.07745605793230112,3.181504855506289e-07,0.5176091259055682,0.5176094440560537
1999,DEU,1701,9.147527710136925,0.987192364018675,-0.17808154233102935,3.1815048555062893e-06,0.6339695849505891,0.6339727664554445
2002,DEU,1701,9.035587985872501,0.7663706643166455,-0.9577429168681271,5.196457930660272e-06,0.7135132651376775,0.7135184615956082
2003,DEU,1701,9.051630501317344,1.0376299900796615,0.0,0.0009936900165364642,0.6290034611362518,0.6299971511527883
2004,DEU,1701,9.02426712360031,0.9389373652946699,-0.3484568210477975,2.1210032370041928e-07,0.5152288344383057,0.5152290465386294
2005,DEU,1701,9.258053589355029,1.7131147948002963,2.384953163742778,4.2420064740083856e-07,0.5897627091290442,0.5897631333296915
2007,DEU,1701,8.790950952673459,0.3411122871332343,-2.459214607991001,2.0149530751539833e-06,0.6740362689494244,0.6740382839024995
2008,DEU,1701,8.895115337061696,1.2710551200242206,0.8241606595259935,5.302508092510482e-07,0.6079181246047625,0.6079186548555717
2008,DEU,1701,8.895115337061696,1.2710551200242206,0.8241606595259935,3.181504855506289e-07,0.6176091259055682,0.6176094440560537
2009,DEU,1701,9.02523678523369,1.3493401657304236,1.1005638681932473,1.0605016185020964e-07,0,1.0605016185020964e-07
2009,DEU,1701,9.02523678523369,1.3493401657304236,1.1005638681932473,1.0605016185020964e-07,0.4845098040014257,0.48450991005158756
2010,DEU,1701,9.042754436797164,1.0411604239239156,0.012465001888119017,2.333103560704612e-06,0.6,0.6000023331035607
2012,DEU,1701,9.003760213811558,0.9141254011469147,-0.43606111944106013,6.363009711012578e-07,0,6.363009711012578e-07
2013,DEU,1701,8.93792918670753,0.8593478067638991,-0.6294659097679456,1.166551780352306e-06,0.7247973266361807,0.7247984931879611
2014,DEU,1701,9.039831326479696,1.264451394636218,0.8008447009040683,8.484012948016771e-07,0.5602059991327962,0.560206847534091
