1996,DEU,1804,7.05051265401401,None
1997,DEU,1804,6.8514121595946005,0.6322655301311612
1998,DEU,1804,6.624891537139672,0.5935801613935345
1999,DEU,1804,6.560699117075477,0.8625962781006814
2000,DEU,1804,6.713851605008185,1.422828277828649
2002,DEU,1804,6.450664723252152,0.5455230659219604
2003,DEU,1804,6.657285375181782,1.6092393807347576
2004,DEU,1804,6.864742405844749,1.612341493483621
2005,DEU,1804,6.9920672600276665,1.3406791463564494
2007,DEU,1804,7.147991498370762,1.4319380792341379
2008,DEU,1804,7.366512608768202,1.6539451785892092
2009,DEU,1804,7.510292402557421,1.392450590845761
2012,DEU,1804,7.666336025470543,1.4323317632845767
2013,DEU,1804,7.778225255095962,1.2938657882642393
2014,DEU,1804,7.865529747723838,1.2226565889396348
2016,DEU,1804,7.862997642191148,0.9941865752769075
