Year,iso,type,death,dollars
04/04/2012,ARG,Storm,18,10000
04/12/2012,ARG,Flood,6,0
03/12/2013,ARG,Storm,4,2000
08/04/2014,ARG,Flood,0,0
04/11/2014,ARG,Flood,3,0
04/03/2015,ARG,Flood,2,0
12/08/2015,ARG,Flood,3,0
15/04/2016,ARG,Flood,0,1000000
10/01/2017,ARG,Landslide,0,0
14/06/2017,ARG,Flood,0,0
21/02/2018,ARG,Flood,0,0
22/06/1997,ARM,Flood,4,8000
30/05/1998,ARM,Flood,0,120
09/03/2004,ARM,Flood,1,0
/02/2014,ARM,Extreme temperature ,0,0
//1939,AUS,Wildfire,71,0
/02/1955,AUS,Flood,70,0
//1969,AUS,Drought,600,600000
/11/1968,AUS,Wildfire,12,1000
09/02/1971,AUS,Flood,27,20000
/12/1973,AUS,Flood,12,71000
/01/1974,AUS,Storm,11,296717
/01/1975,AUS,Drought,0,0
/01/1975,AUS,Wildfire,0,0
/12/1975,AUS,Storm,0,63861
10/01/1976,AUS,Storm,0,13037
10/11/1976,AUS,Storm,0,38024
/02/1976,AUS,Storm,0,8257
//1976,AUS,Drought,0,0
/01/1977,AUS,Storm,0,38680
/02/1977,AUS,Wildfire,0,22592
/12/1977,AUS,Wildfire,3,2168
/03/1978,AUS,Flood,6,17258
/10/1978,AUS,Storm,0,3797
/03/1978,AUS,Storm,0,11620
//1978,AUS,Drought,0,0
/02/1979,AUS,Wildfire,0,4090
/11/1979,AUS,Storm,0,18683
/02/1980,AUS,Storm,0,40026
/02/1980,AUS,Storm,0,4605
/12/1980,AUS,Storm,0,29399
/08/1981,AUS,Flood,0,150000
/02/1981,AUS,Flood,0,38236
/04/1982,AUS,Storm,1,6864
15/12/1982,AUS,Storm,0,11767
/01/1983,AUS,Storm,0,1984
/09/1983,AUS,Storm,0,5773
/01/1985,AUS,Wildfire,5,15000
/12/1985,AUS,Flood,0,5778
/09/1985,AUS,Storm,0,7255
03/10/1986,AUS,Storm,0,51000
/08/1986,AUS,Storm,4,68055
03/08/1986,AUS,Flood,8,64200
/03/1988,AUS,Flood,6,0
//1988,AUS,Flood,10,0
/04/1989,AUS,Flood,9,0
/04/1989,AUS,Storm,2,13611
03/01/1990,AUS,Wildfire,0,0
25/12/1990,AUS,Storm,0,155600
/01/1991,AUS,Storm,0,0
//1991,AUS,Drought,0,473000
18/12/1992,AUS,Storm,2,274900
15/10/1993,AUS,Flood,1,4600
/09/1993,AUS,Storm,0,0
06/01/1994,AUS,Wildfire,4,150000
20/09/1994,AUS,Wildfire,0,0
07/11/1994,AUS,Storm,1,0
06/08/1994,AUS,Earthquake,0,0
/12/1994,AUS,Extreme temperature ,0,0
/04/1995,AUS,Storm,0,18700
/12/1995,AUS,Storm,1,84000
31/08/1996,AUS,Storm,6,47000
25/11/1996,AUS,Flood,1,131000
/02/1996,AUS,Storm,0,39200
09/05/1996,AUS,Flood,4,205300
/12/1996,AUS,Storm,1,140000
31/07/1997,AUS,Landslide,19,0
28/11/1997,AUS,Wildfire,2,6700
28/01/1998,AUS,Flood,2,100000
24/06/1998,AUS,Flood,1,0
09/09/1998,AUS,Flood,1,122700
11/02/1999,AUS,Storm,5,300000
14/04/1999,AUS,Storm,1,1500000
13/03/2000,AUS,Storm,1,90000
/10/2000,AUS,Wildfire,0,0
07/12/2000,AUS,Storm,0,0
16/01/2001,AUS,Storm,1,6600
01/02/2001,AUS,Flood,0,0
15/03/2001,AUS,Flood,3,200000
/10/2001,AUS,Wildfire,0,0
16/02/2002,AUS,Storm,0,0
06/12/2002,AUS,Wildfire,2,50000
/11/2002,AUS,Drought,0,2000000
09/01/2003,AUS,Storm,1,0
24/02/2003,AUS,Flood,0,0
24/02/2003,AUS,Flood,0,0
31/01/2004,AUS,Storm,1,50000
21/01/2005,AUS,Storm,0,27000
21/01/2005,AUS,Storm,0,27000
10/04/2006,AUS,Flood,0,0
/12/2006,AUS,Wildfire,1,50000
12/06/2007,AUS,Flood,9,1300000
09/01/2008,AUS,Flood,1,90000
09/01/2008,AUS,Flood,1,90000
09/01/2008,AUS,Flood,1,90000
08/02/2009,AUS,Extreme temperature ,347,0
10/03/2010,AUS,Storm,0,1330000
21/03/2010,AUS,Storm,1,0
15/09/2010,AUS,Flood,0,0
04/02/2011,AUS,Flood,35,7300000
18/03/2011,AUS,Flood,0,0
07/03/2012,AUS,Flood,2,225000
30/01/2013,AUS,Storm,6,2000000
31/10/2013,AUS,Wildfire,2,268000
18/01/2014,AUS,Extreme temperature ,139,0
30/11/2014,AUS,Storm,0,1000000
20/02/2015,AUS,Storm,0,78000
15/03/2015,AUS,Storm,0,57000
28/11/2015,AUS,Wildfire,2,200000
03/05/2015,AUS,Flood,6,400000
05/06/2016,AUS,Storm,5,500000
13/02/2017,AUS,Wildfire,0,20000
09/03/2017,AUS,Storm,0,490000
//1939,AUS,Wildfire,71,0
/02/1955,AUS,Flood,70,0
//1969,AUS,Drought,600,600000
/11/1968,AUS,Wildfire,12,1000
09/02/1971,AUS,Flood,27,20000
/12/1973,AUS,Flood,12,71000
/01/1974,AUS,Storm,11,296717
/01/1975,AUS,Drought,0,0
/01/1975,AUS,Wildfire,0,0
/12/1975,AUS,Storm,0,63861
10/01/1976,AUS,Storm,0,13037
10/11/1976,AUS,Storm,0,38024
/02/1976,AUS,Storm,0,8257
//1976,AUS,Drought,0,0
/01/1977,AUS,Storm,0,38680
/02/1977,AUS,Wildfire,0,22592
/12/1977,AUS,Wildfire,3,2168
/03/1978,AUS,Flood,6,17258
/10/1978,AUS,Storm,0,3797
/03/1978,AUS,Storm,0,11620
//1978,AUS,Drought,0,0
/02/1979,AUS,Wildfire,0,4090
/11/1979,AUS,Storm,0,18683
/02/1980,AUS,Storm,0,40026
/02/1980,AUS,Storm,0,4605
/12/1980,AUS,Storm,0,29399
/08/1981,AUS,Flood,0,150000
10/09/1931,BLZ,Storm,1500,7500
31/10/1961,BLZ,Storm,275,60000
18/09/1978,BLZ,Storm,5,6000
//1990,BLZ,Extreme temperature ,0,2250
/10/1995,BLZ,Flood,0,500
03/10/2000,BLZ,Storm,14,277460
21/08/2001,BLZ,Storm,0,0
21/11/2005,BLZ,Storm,3,0
05/06/2008,BLZ,Storm,7,0
25/09/2010,BLZ,Storm,0,0
04/08/2016,BLZ,Storm,0,0
/09/1970,BEN,Flood,0,200
//1985,BEN,Drought,0,651
//1984,BEN,Wildfire,0,0
/09/1988,BEN,Flood,0,0
/09/1994,BEN,Flood,0,0
29/09/1996,BEN,Flood,11,0
/08/1998,BEN,Flood,0,0
/09/2007,BEN,Flood,10,0
/05/2009,BEN,Storm,0,0
/08/2009,BEN,Flood,3,0
/07/2011,BEN,Flood,0,0
20/09/2013,BEN,Flood,0,0
12/10/1948,BMU,Storm,0,0
/01/1986,BMU,Storm,0,1500
08/08/1989,BMU,Storm,0,0
/05/1994,BTN,Storm,17,0
/01/1999,BTN,Wildfire,0,3500
11/08/2004,BTN,Flood,0,0
21/09/2009,BTN,Earthquake,11,0
22/12/1965,BOL,Flood,40,100
29/06/1966,BOL,Flood,14,118
/02/1974,BOL,Flood,31,10500
//1977,BOL,Drought,0,0
/12/1978,BOL,Flood,40,0
/03/1982,BOL,Flood,0,400000
17/03/1983,BOL,Flood,250,48400
//1983,BOL,Drought,0,500000
25/02/1985,BOL,Flood,0,0
/02/1987,BOL,Flood,25,0
//1990,BOL,Drought,0,0
08/12/1992,BOL,Landslide,49,400000
/02/1994,BOL,Landslide,0,0
//1994,BOL,Drought,0,0
//1994,BOL,Drought,0,0
22/05/1998,BOL,Earthquake,95,0
13/08/1999,BOL,Wildfire,3,0
/07/2000,BOL,Extreme temperature ,6,0
//2000,BOL,Drought,0,0
//2000,BOL,Drought,0,0
17/04/2006,BOL,Flood,25,35000
/07/2007,BOL,Extreme temperature ,0,0
09/11/2008,BOL,Storm,0,0
09/11/2008,BOL,Storm,0,0
/02/2014,BOL,Flood,74,0
28/02/2014,BOL,Landslide,74,200000
/02/2015,BOL,Flood,38,0
/02/2015,BOL,Flood,38,0
/02/2005,BIH,Storm,4,0
22/07/2007,BIH,Extreme temperature ,0,0
16/02/2009,BIH,Flood,0,0
22/06/2010,BIH,Flood,0,87000
/12/2010,BIH,Extreme temperature ,2,0
24/04/2014,BIH,Flood,0,0
06/08/2014,BIH,Flood,1,0
16/10/2015,BIH,Flood,0,0
//1968,BWA,Drought,0,1000
19/01/1972,BWA,Flood,0,50
/02/1988,BWA,Flood,8,0
19/02/1995,BWA,Flood,20,0
02/06/2004,BWA,Flood,0,0
01/07/2009,BWA,Flood,0,0
/03/2011,BWA,Flood,0,0
/12/2015,BWA,Drought,0,44000
/05/1949,BRA,Storm,100,0
/03/1956,BRA,Landslide,36,0
/08/1959,BRA,Storm,59,0
/01/1964,BRA,Flood,100,0
05/07/1964,BRA,Flood,0,500
16/08/1965,BRA,Flood,6,10000
11/01/1966,BRA,Landslide,350,27
/01/1966,BRA,Storm,36,0
23/01/1967,BRA,Flood,785,7800
30/03/1967,BRA,Flood,0,5000
28/12/1967,BRA,Flood,35,1500
14/03/1969,BRA,Flood,316,5770
//1970,BRA,Drought,0,100
26/04/1971,BRA,Flood,109,5200
/03/1974,BRA,Flood,205,121000
23/10/1974,BRA,Landslide,30,0
18/07/1975,BRA,Flood,118,254900
/05/1977,BRA,Flood,2,0
09/08/1977,BRA,Flood,0,0
//1977,BRA,Drought,0,0
//1978,BRA,Drought,0,2300000
//1979,BRA,Drought,0,0
/02/1980,BRA,Flood,50,0
/04/1981,BRA,Flood,30,0
/06/1982,BRA,Storm,33,0
/05/1983,BRA,Flood,75,338000
//1983,BRA,Drought,20,0
/06/1984,BRA,Flood,17,1000000
09/10/1984,BRA,Storm,10,0
/05/1984,BRA,Flood,6,0
30/09/1985,BRA,Storm,22,0
//1985,BRA,Drought,0,651000
30/11/1986,BRA,Earthquake,1,5000
25/12/1987,BRA,Flood,12,0
02/02/1988,BRA,Flood,289,1000000
/07/1988,BRA,Flood,66,30000
//1988,BRA,Drought,0,0
19/07/1989,BRA,Flood,35,0
20/05/1989,BRA,Landslide,69,0
27/04/1989,BRA,Landslide,30,0
29/07/1989,BRA,Storm,36,0
19/04/1990,BRA,Flood,7,0
18/01/1991,BRA,Landslide,24,0
05/01/1992,BRA,Flood,25,0
02/07/1992,BRA,Flood,29,0
24/06/1994,BRA,Extreme temperature ,0,475000
15/05/1994,BRA,Storm,0,70000
07/02/1995,BRA,Landslide,42,0
31/05/1995,BRA,Landslide,86,0
25/12/1995,BRA,Flood,92,3000
20/02/1996,BRA,Landslide,96,0
29/04/1996,BRA,Landslide,49,0
27/01/1997,BRA,Flood,20,0
22/10/1997,BRA,Flood,0,0
15/03/1998,BRA,Wildfire,1,36000
//1998,BRA,Flood,3,0
11/09/1998,BRA,Wildfire,0,0
//1999,BRA,Drought,0,122000
21/05/1999,BRA,Landslide,25,0
06/01/2000,BRA,Flood,26,0
17/08/2000,BRA,Landslide,60,75000
15/10/2000,BRA,Flood,6,0
26/04/2001,BRA,Flood,23,0
25/12/2001,BRA,Flood,50,45000
//2001,BRA,Drought,0,0
19/06/2002,BRA,Flood,0,0
21/12/2002,BRA,Landslide,13,0
24/01/2003,BRA,Flood,54,0
29/11/2003,BRA,Flood,7,0
04/02/2003,BRA,Flood,29,0
02/06/2004,BRA,Flood,28,370
/07/2004,BRA,Extreme temperature ,0,0
03/01/2005,BRA,Storm,2,0
04/06/2005,BRA,Flood,28,0
30/01/2006,BRA,Flood,12,0
12/01/2007,BRA,Flood,59,125000
30/09/2007,BRA,Flood,4,0
09/12/2007,BRA,Earthquake,1,0
16/01/2008,BRA,Flood,4,0
04/04/2008,BRA,Flood,36,360000
24/11/2008,BRA,Flood,151,750000
14/05/2009,BRA,Flood,56,550000
21/06/2009,BRA,Flood,0,0
13/11/2009,BRA,Flood,3,0
02/11/2009,BRA,Flood,0,0
/02/2010,BRA,Extreme temperature ,32,0
23/06/2010,BRA,Flood,72,602000
//2010,BRA,Drought,0,0
18/03/2011,BRA,Flood,10,0
