1996,FRA,1806,8.385448168780258,None
1997,FRA,1806,8.377433081512201,0.9817138379651866
1998,FRA,1806,8.342308896556153,0.9223076588636662
1999,FRA,1806,8.338629157075328,0.9915628806906361
2000,FRA,1806,8.331133067140634,0.9828877221520279
2002,FRA,1806,8.359172419422304,1.0666927719924144
2003,FRA,1806,8.372351611479901,1.030811350586254
2004,FRA,1806,8.41098695961346,1.0930382201244813
2005,FRA,1806,8.344764516716214,0.8585736528507123
2001,FRA,1806,8.339064092603843,0.9869600549085726
2007,FRA,1806,8.449467670515498,1.2894472429576416
2008,FRA,1806,8.43603337190128,0.9695399331463413
2009,FRA,1806,8.450754048534133,1.034476612671268
2010,FRA,1806,8.465660893833327,1.0349201559888859
2006,FRA,1806,8.394390700198969,0.8486523269483003
2012,FRA,1806,8.506022295514121,1.2930984624534783
2013,FRA,1806,8.49934505926515,0.9847426857786525
2014,FRA,1806,8.502760987293561,1.0078964789863878
2015,FRA,1806,8.505890325238267,1.0072315894645036
2011,FRA,1806,8.499600656289232,0.9856218689729102
2016,FRA,1806,8.518804480434769,1.0452106449371614
