1996,POL,1804,5.1505016199447,None
1997,POL,1804,5.677092976867442,3.3619508262797257
1998,POL,1804,5.765248956252477,1.225056106276962
1999,POL,1804,5.765295929698056,1.0001081662051003
2000,POL,1804,5.81679525218122,1.125898712446352
2002,POL,1804,5.778142564407146,0.9148445647997365
2003,POL,1804,6.396344610872618,4.151471362760589
2004,POL,1804,6.316566618790191,0.8321890708851216
2007,POL,1804,6.187078869416341,0.7421851330828562
2008,POL,1804,6.189778811731576,1.0062362116281882
2009,POL,1804,6.337150253194284,1.404014010082505
2012,POL,1804,6.399381729005252,1.154068203913312
2013,POL,1804,6.489444752483203,1.2304473165828986
2014,POL,1804,6.464343168210408,0.9438400801983704
2016,POL,1804,6.231966298201779,0.5856297489407892
